trial,block,gridLevel,W_px,A_px,MT_ms,errors,timestamp
1,1,4,54.9,120.6,1431,0,2026-09-17T10:24:41.848Z
2,1,4,54.9,274.9,850.3,0,2026-09-17T10:24:42.699Z
3,1,4,54.9,152.5,799.7,0,2026-09-17T10:24:43.498Z
4,1,4,54.9,314.4,1032.7,0,2026-09-17T10:24:44.531Z
5,1,4,54.9,305,883.6,0,2026-09-17T10:24:45.415Z
6,2,7,31.4,214.6,2132.6,0,2026-09-17T10:24:48.648Z
7,2,7,31.4,374.8,1315.6,0,2026-09-17T10:24:49.964Z
8,2,7,31.4,246.5,1316.8,0,2026-09-17T10:24:51.281Z
9,2,7,31.4,444.3,1784.6,0,2026-09-17T10:24:53.066Z
10,2,7,31.4,97.4,1099.7,0,2026-09-17T10:24:54.165Z
11,3,5,43.9,195.3,1481.7,0,2026-09-17T10:24:56.748Z
12,3,5,43.9,136.4,934.1,0,2026-09-17T10:24:57.682Z
13,3,5,43.9,192.9,1102.7,0,2026-09-17T10:24:58.785Z
14,3,5,43.9,355.7,829.8,0,2026-09-17T10:24:59.615Z
15,3,5,43.9,272.8,1104.4,0,2026-09-17T10:25:00.719Z
16,4,3,73.2,273.7,1078.3,0,2026-09-17T10:25:02.899Z
17,4,3,73.2,366.5,949.4,0,2026-09-17T10:25:03.848Z
18,4,3,73.2,321.5,850.8,0,2026-09-17T10:25:04.699Z
19,4,3,73.2,101.7,965.9,0,2026-09-17T10:25:05.665Z
20,4,3,73.2,227.3,719.5,0,2026-09-17T10:25:06.385Z
21,5,2,109.8,107.8,729.4,0,2026-09-17T10:25:08.215Z
22,5,2,109.8,152.5,683,0,2026-09-17T10:25:08.898Z
23,5,2,109.8,152.5,649,0,2026-09-17T10:25:09.547Z
24,5,2,109.8,152.5,634.3,0,2026-09-17T10:25:10.182Z
25,5,2,109.8,152.5,584.6,0,2026-09-17T10:25:10.767Z
